timestamp,strategy,median_sharpe,paths,pass_rate,outcome
3979731776,Bred-Bred--848-Gen320,-22.5355,45,0.0000,FAIL
3979731799,Bred-Bred--475-Gen221,-22.6158,45,0.0000,FAIL
3979731829,Bred-Bred--560-Gen311,-22.6954,45,0.0000,FAIL
3979731857,Bred-Bred--661-Gen302,-22.6698,45,0.0000,FAIL
3979731885,Bred-Legen-531-Gen234,-22.6749,45,0.0000,FAIL
3979731914,Bred-Legen-8-Gen181,-22.4322,45,0.0000,FAIL
3979731940,Bred-Bred--858-Gen194,-22.6749,45,0.0000,FAIL
3979731967,Bred-Legen-228-Gen228,-22.6794,45,0.0000,FAIL
3979731996,Bred-Legen-153-Gen2,-22.7083,45,0.0000,FAIL
3979732023,Bred-Bred--978-Gen323,-22.6936,45,0.0000,FAIL
3979732047,Bred-Bred--419-Gen305,-22.5820,45,0.0000,FAIL
3979732076,Bred-Bred--945-Gen164,-22.7543,45,0.0000,FAIL
3979737169,Bred-Legen-8-Gen181,-22.4322,45,0.0000,FAIL
3979737194,Bred-Legen-244-Gen2,-22.7860,45,0.0000,FAIL
3979737222,Bred-Legen-531-Gen234,-22.6749,45,0.0000,FAIL
3979737251,Bred-Bred--858-Gen194,-22.6749,45,0.0000,FAIL
3979737281,Bred-Legen-391-Gen2,-22.4514,45,0.0000,FAIL
3979737306,Bred-Bred--661-Gen302,-22.6698,45,0.0000,FAIL
3979737333,Bred-Legen-153-Gen2,-22.7083,45,0.0000,FAIL
3979737360,Bred-Bred--560-Gen311,-22.6954,45,0.0000,FAIL
3979737387,Bred-Bred--855-Gen208,-22.6833,45,0.0000,FAIL
3979737411,Bred-Legen-648-Gen196,-22.4322,45,0.0000,FAIL
3979737438,Bred-Bred--303-Gen151,-22.5379,45,0.0000,FAIL
3979737464,Bred-Legen-959-Gen187,-22.5984,45,0.0000,FAIL
3979737492,Bred-Legen-796-Gen2,-22.6452,45,0.0000,FAIL
3979737514,Bred-Bred--419-Gen305,-22.5820,45,0.0000,FAIL
3979740879,Bred-Bred--419-Gen305,-22.5820,45,0.0000,FAIL
3979740907,Bred-Bred--858-Gen194,-22.6749,45,0.0000,FAIL
3979740933,Bred-Bred--560-Gen311,-22.6954,45,0.0000,FAIL
3979740957,Bred-Legen-244-Gen2,-22.7860,45,0.0000,FAIL
3979740984,Bred-Legen-8-Gen181,-22.4322,45,0.0000,FAIL
3979741010,Bred-Legen-391-Gen2,-22.4514,45,0.0000,FAIL
3979741033,Bred-Bred--303-Gen151,-22.5379,45,0.0000,FAIL
3979741059,Bred-Bred--855-Gen208,-22.6833,45,0.0000,FAIL
3979741087,Bred-Legen-796-Gen2,-22.6452,45,0.0000,FAIL
3979741113,Bred-Legen-951-Gen167,-22.4322,45,0.0000,FAIL
3979741136,Bred-Legen-959-Gen187,-22.5984,45,0.0000,FAIL
3979741162,Bred-Legen-531-Gen234,-22.6749,45,0.0000,FAIL
3979741188,Bred-Legen-153-Gen2,-22.7083,45,0.0000,FAIL
3979741212,Bred-Bred--848-Gen320,-22.5355,45,0.0000,FAIL
3979741238,Bred-Legen-604-Gen2,-22.5758,45,0.0000,FAIL
3979741265,Bred-Legen-870-Gen2,-22.6685,45,0.0000,FAIL
3979741291,Bred-Legen-718-Gen259,-22.7457,45,0.0000,FAIL
3979741313,Bred-Bred--661-Gen302,-22.6698,45,0.0000,FAIL
3979741339,Bred-Legen-648-Gen196,-22.4322,45,0.0000,FAIL
3979744506,Bred-Bred--419-Gen305,-22.5820,45,0.0000,FAIL
3979744533,Bred-Legen-244-Gen2,-22.7860,45,0.0000,FAIL
3979744559,Bred-Bred--560-Gen311,-22.6954,45,0.0000,FAIL
3979744586,Bred-Legen-959-Gen187,-22.5984,45,0.0000,FAIL
3979744609,Bred-Legen-648-Gen196,-22.4322,45,0.0000,FAIL
3979744636,Bred-Bred--475-Gen221,-22.6158,45,0.0000,FAIL
3979744664,Bred-Bred--855-Gen208,-22.6833,45,0.0000,FAIL
3979744688,Bred-Bred--661-Gen302,-22.6698,45,0.0000,FAIL
3979744713,Bred-Legen-8-Gen181,-22.4322,45,0.0000,FAIL
3979744740,Bred-Bred--848-Gen320,-22.5355,45,0.0000,FAIL
3979744768,Bred-Legen-153-Gen2,-22.7083,45,0.0000,FAIL
3979744791,Bred-Legen-391-Gen2,-22.4514,45,0.0000,FAIL
3979744818,Bred-Bred--303-Gen151,-22.5379,45,0.0000,FAIL
3979744845,Bred-Legen-870-Gen2,-22.6685,45,0.0000,FAIL
3979744872,Bred-Legen-951-Gen167,-22.4322,45,0.0000,FAIL
3979744895,Bred-Bred--858-Gen194,-22.6749,45,0.0000,FAIL
